,0,1,2,3,4,5
295,7,0.5833333333333334,QSAR-TID-30045,QSAR-TID-10980,3199,3277
296,9,1.0,QSAR-TID-11631,QSAR-TID-11,3201,3050
297,8,0.6666666666666666,QSAR-TID-11631,QSAR-TID-10980,3201,3277
298,8,0.8888888888888888,QSAR-TID-10280,QSAR-TID-11,3202,3050
299,9,0.75,QSAR-TID-10280,QSAR-TID-10980,3202,3277
300,9,1.0,QSAR-TID-11574,QSAR-TID-11,3203,3050
301,8,0.6666666666666666,QSAR-TID-11574,QSAR-TID-10980,3203,3277
302,8,0.8888888888888888,QSAR-TID-14071,QSAR-TID-11,3204,3050
303,8,0.6666666666666666,QSAR-TID-14071,QSAR-TID-10980,3204,3277
304,9,1.0,QSAR-TID-11969,QSAR-TID-11,3205,3050
305,8,0.6666666666666666,QSAR-TID-11969,QSAR-TID-10980,3205,3277
306,8,0.8888888888888888,QSAR-TID-101055,QSAR-TID-11,3206,3050
307,9,0.75,QSAR-TID-101055,QSAR-TID-10980,3206,3277
308,8,0.8888888888888888,QSAR-TID-12894,QSAR-TID-11,3207,3050
309,8,0.6666666666666666,QSAR-TID-12894,QSAR-TID-10980,3207,3277
310,8,0.8888888888888888,QSAR-TID-12238,QSAR-TID-11,3208,3050
311,8,0.6666666666666666,QSAR-TID-12238,QSAR-TID-10980,3208,3277
312,8,0.8888888888888888,QSAR-TID-100426,QSAR-TID-11,3209,3050
313,9,0.75,QSAR-TID-100426,QSAR-TID-10980,3209,3277
314,7,0.7777777777777778,QSAR-TID-275,QSAR-TID-11,3210,3050
315,7,0.5833333333333334,QSAR-TID-275,QSAR-TID-10980,3210,3277
316,7,0.7777777777777778,QSAR-TID-20157,QSAR-TID-11,3211,3050
317,7,0.5833333333333334,QSAR-TID-20157,QSAR-TID-10980,3211,3277
318,8,0.8888888888888888,QSAR-TID-12000,QSAR-TID-11,3212,3050
319,8,0.6666666666666666,QSAR-TID-12000,QSAR-TID-10980,3212,3277
320,8,0.8888888888888888,QSAR-TID-101464,QSAR-TID-11,3213,3050
321,9,0.75,QSAR-TID-101464,QSAR-TID-10980,3213,3277
